,id,name,explicit,uri,preview_url,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,filename
11,7JObfyvbOVzwn6K9G8UqXq,Acaso,False,spotify:track:7JObfyvbOVzwn6K9G8UqXq,https://p.scdn.co/mp3-preview/3032d0fa64566211fb69a9c5cb86e51de97ce568?cid=c7dbbb6a42314093bc11a2d6f68766ee,Gabriel O Príncipe,0.846,0.488,0,-9.659,0,0.0358,0.614,0.0183,0.139,0.808,143.058,244898,4,./sampled/7JObfyvbOVzwn6K9G8UqXq.mp3
12,4gMqtrfGwN8FCZb1Jc1FTj,Som da Roça - Ao Vivo,False,spotify:track:4gMqtrfGwN8FCZb1Jc1FTj,https://p.scdn.co/mp3-preview/d2e4f2a763ad1c94655b10a0edff2b7429a5b6e1?cid=c7dbbb6a42314093bc11a2d6f68766ee,Os Barões Da Pisadinha,0.628,0.943,7,-2.357,1,0.0616,0.53,0.0,0.942,0.961,168.028,171283,4,./sampled/4gMqtrfGwN8FCZb1Jc1FTj.mp3
13,4sNVJ7S1hwZycKkCZY9gVx,Cangote,False,spotify:track:4sNVJ7S1hwZycKkCZY9gVx,https://p.scdn.co/mp3-preview/fb9b88d100d4d1c5ab85ab782317511f7448f981?cid=c7dbbb6a42314093bc11a2d6f68766ee,Zé Vaqueiro,0.539,0.923,5,-2.348,1,0.0653,0.405,0.0,0.0818,0.644,164.049,231855,4,./sampled/4sNVJ7S1hwZycKkCZY9gVx.mp3
14,3IaHVzXkrHILqgWksW40ZQ,Desisti de Mim,False,spotify:track:3IaHVzXkrHILqgWksW40ZQ,https://p.scdn.co/mp3-preview/560cc2d0b4d023fc90c455a0409055a3b075e44d?cid=c7dbbb6a42314093bc11a2d6f68766ee,Anderson & Vei da Pisadinha,0.728,0.737,1,-5.742,0,0.0528,0.0225,1.53e-06,0.117,0.778,165.974,179349,4,./sampled/3IaHVzXkrHILqgWksW40ZQ.mp3
15,4lgEYHlFKx9lNuBH1NjFPk,Carinha de BBzinha,False,spotify:track:4lgEYHlFKx9lNuBH1NjFPk,https://p.scdn.co/mp3-preview/2e457ccf82d58e8d3ec6c5e38966e42601c52b8a?cid=c7dbbb6a42314093bc11a2d6f68766ee,Anderson Rodrigues \ NATTAN,0.758,0.636,0,-7.276,0,0.0437,0.345,0.0,0.0365,0.958,150.038,158852,4,./sampled/4lgEYHlFKx9lNuBH1NjFPk.mp3
16,2PqvBbHgGOCpO6Z6Fg1SB6,Esquema Preferido,False,spotify:track:2PqvBbHgGOCpO6Z6Fg1SB6,https://p.scdn.co/mp3-preview/eb03b6ffa805bb8067c86f3d8d1986aa43ea4dcb?cid=c7dbbb6a42314093bc11a2d6f68766ee,DJ Ivis \ Tarcísio do Acordeon,0.682,0.83,5,-4.37,1,0.103,0.257,0.0,0.0779,0.921,160.018,190680,4,./sampled/2PqvBbHgGOCpO6Z6Fg1SB6.mp3
17,0WlmiIK5qFQ4dAB4mCA4sI,Amor da Despedida,False,spotify:track:0WlmiIK5qFQ4dAB4mCA4sI,https://p.scdn.co/mp3-preview/c2f161e277010e6c8b5d597be0fd1ea43b336aac?cid=c7dbbb6a42314093bc11a2d6f68766ee,Os Barões Da Pisadinha \ Fernando & Sorocaba,0.533,0.915,3,-2.337,0,0.047,0.324,0.0,0.0891,0.967,167.927,169773,4,./sampled/0WlmiIK5qFQ4dAB4mCA4sI.mp3
18,1FYTPHLd1yT9zbhm2OYysC,Quando a Saudade Bater - Ao Vivo,False,spotify:track:1FYTPHLd1yT9zbhm2OYysC,https://p.scdn.co/mp3-preview/b05f0268c0f6965cfdba82e3ff14f7bc3fa2482c?cid=c7dbbb6a42314093bc11a2d6f68766ee,Os Barões Da Pisadinha,0.638,0.903,9,-2.785,1,0.0556,0.364,0.0,0.0476,0.963,167.974,152351,4,./sampled/1FYTPHLd1yT9zbhm2OYysC.mp3
19,2SUPbyD77tJuOUbqbxct6l,Quero Ver é Me Esquecer (feat. Jorge) - Ao Vivo,False,spotify:track:2SUPbyD77tJuOUbqbxct6l,https://p.scdn.co/mp3-preview/2e7d275580d56faaec97e49abc361ca240c2f694?cid=c7dbbb6a42314093bc11a2d6f68766ee,Os Barões Da Pisadinha \ Jorge,0.593,0.932,8,-2.324,1,0.0526,0.302,0.0,0.133,0.913,171.977,147876,4,./sampled/2SUPbyD77tJuOUbqbxct6l.mp3
20,1h4u5t0EJZki8ieNGwwFXc,Volta Comigo BB,False,spotify:track:1h4u5t0EJZki8ieNGwwFXc,https://p.scdn.co/mp3-preview/d3fdb7856539ad3fda246a69272bc34563cc9426?cid=c7dbbb6a42314093bc11a2d6f68766ee,Zé Vaqueiro,0.541,0.755,1,-6.461,0,0.0353,0.206,1.25e-05,0.0457,0.937,163.965,210732,4,./sampled/1h4u5t0EJZki8ieNGwwFXc.mp3
21,4wQUopWk9Ed7Ng5qpKN5qd,"Volta Bebê, Volta Neném",False,spotify:track:4wQUopWk9Ed7Ng5qpKN5qd,https://p.scdn.co/mp3-preview/b39701875c9ced204af42af03d04f49645f4d90d?cid=c7dbbb6a42314093bc11a2d6f68766ee,Dj Guuga \ DJ Ivis,0.583,0.918,6,-3.612,1,0.0518,0.288,0.0,0.0701,0.836,164.081,172973,4,./sampled/4wQUopWk9Ed7Ng5qpKN5qd.mp3
22,6H50cIiW3aoA8BtzDNNh4y,Eu Vou Morar no Sítio,False,spotify:track:6H50cIiW3aoA8BtzDNNh4y,https://p.scdn.co/mp3-preview/d9f147118ce3fe2bb59e9b4b0e4e6997af82bec0?cid=c7dbbb6a42314093bc11a2d6f68766ee,Pisadinha do Vaqueiro,0.639,0.941,7,-4.304,1,0.0462,0.562,0.0776,0.03,0.962,112.061,170423,3,./sampled/6H50cIiW3aoA8BtzDNNh4y.mp3
23,41B7TKi977WZp719ljaZzi,Matuto da Roça,False,spotify:track:41B7TKi977WZp719ljaZzi,https://p.scdn.co/mp3-preview/042afdd653532e73b9c6f08b08f04c4632261646?cid=c7dbbb6a42314093bc11a2d6f68766ee,Pisadinha do Vaqueiro,0.669,0.892,1,-4.056,0,0.0425,0.492,0.742,0.046,0.941,166.053,184079,4,./sampled/41B7TKi977WZp719ljaZzi.mp3
24,490NQHlu9e6HkJMf7LU8z4,Balada do Buteco - Ao Vivo,False,spotify:track:490NQHlu9e6HkJMf7LU8z4,https://p.scdn.co/mp3-preview/054459e6aae7085869fd5180f61c067aeec5ab37?cid=c7dbbb6a42314093bc11a2d6f68766ee,Gusttavo Lima,0.823,0.934,4,-3.046,0,0.0447,0.192,0.0,0.424,0.967,156.023,165020,4,./sampled/490NQHlu9e6HkJMf7LU8z4.mp3
25,6EFJu7oqoG8y7mp2j2xGDV,Futuro Lhe Espera,False,spotify:track:6EFJu7oqoG8y7mp2j2xGDV,https://p.scdn.co/mp3-preview/7652dc20f4dded1b56465ced11ec5505eb2f19b1?cid=c7dbbb6a42314093bc11a2d6f68766ee,Pisadinha do Vaqueiro,0.438,0.841,11,-6.43,0,0.0473,0.524,0.0136,0.047,0.922,165.86,169008,4,./sampled/6EFJu7oqoG8y7mp2j2xGDV.mp3
26,5sGqeWGmS7aejBO2ztKZiN,Coração Traíra,False,spotify:track:5sGqeWGmS7aejBO2ztKZiN,https://p.scdn.co/mp3-preview/967a35ba8e9f49ff5405164605fddce3267c7d5f?cid=c7dbbb6a42314093bc11a2d6f68766ee,Pisadinha do Vaqueiro,0.595,0.887,3,-2.817,1,0.0409,0.47,0.199,0.0756,0.966,165.824,169691,4,./sampled/5sGqeWGmS7aejBO2ztKZiN.mp3
27,4yRemvJmZaDapoeMXaOYcN,Estilo Capa Loka,False,spotify:track:4yRemvJmZaDapoeMXaOYcN,https://p.scdn.co/mp3-preview/a984bc1c202b1ef9490e965e238a4984ba87b9c0?cid=c7dbbb6a42314093bc11a2d6f68766ee,Pisadinha do Vaqueiro,0.721,0.895,1,-3.917,1,0.0432,0.485,0.005,0.0265,0.962,168.205,160235,4,./sampled/4yRemvJmZaDapoeMXaOYcN.mp3
28,4trI4Q6hgkMlzNiXS5dQWC,Botada Concentrada,False,spotify:track:4trI4Q6hgkMlzNiXS5dQWC,https://p.scdn.co/mp3-preview/ea667b5cb758803fbccbeabf95821103b6fc3b43?cid=c7dbbb6a42314093bc11a2d6f68766ee,Pisadinha do Vaqueiro,0.752,0.924,6,-4.287,0,0.0679,0.497,0.000767,0.0181,0.875,168.06,136359,4,./sampled/4trI4Q6hgkMlzNiXS5dQWC.mp3
29,41pFFOnh1glVNIlrWOpBjb,Se Joga no Passinho,False,spotify:track:41pFFOnh1glVNIlrWOpBjb,https://p.scdn.co/mp3-preview/81c19cd77c5de5b21a8f2d1e60326da063097187?cid=c7dbbb6a42314093bc11a2d6f68766ee,Brisa Star \ Thiago Jhonathan (TJ),0.654,0.83,11,-3.052,0,0.0467,0.391,1.37e-05,0.032,0.866,168.0,200000,4,./sampled/41pFFOnh1glVNIlrWOpBjb.mp3
30,6mC5wOykw6GBFVXI8SFdNT,Volta Rapariga,False,spotify:track:6mC5wOykw6GBFVXI8SFdNT,https://p.scdn.co/mp3-preview/27f913f1508ec2723a53afc0a6555e3482c49363?cid=c7dbbb6a42314093bc11a2d6f68766ee,Vitinho Imperador,0.71,0.731,10,-7.1,0,0.0437,0.285,0.00927,0.0885,0.961,80.998,196393,4,./sampled/6mC5wOykw6GBFVXI8SFdNT.mp3
31,6RMYuqlTn8777j5arY9zhC,Cena de Amor,False,spotify:track:6RMYuqlTn8777j5arY9zhC,https://p.scdn.co/mp3-preview/36380e91c0312c234e5b4c19862c233404a77e7b?cid=c7dbbb6a42314093bc11a2d6f68766ee,Brisa Star \ Zé Vaqueiro,0.632,0.888,8,-2.955,1,0.0437,0.0711,0.114,0.116,0.961,159.998,222000,4,./sampled/6RMYuqlTn8777j5arY9zhC.mp3
32,5R9KPXQVeyqsHZoPLMgfNy,Baby Me Atende,False,spotify:track:5R9KPXQVeyqsHZoPLMgfNy,https://p.scdn.co/mp3-preview/aae4487e85a0aa99b79c29dedc9badacd74afa87?cid=c7dbbb6a42314093bc11a2d6f68766ee,Matheus Fernandes \ Dilsinho,0.65,0.792,6,-3.825,0,0.0393,0.607,2.36e-05,0.92,0.872,154.027,225672,4,./sampled/5R9KPXQVeyqsHZoPLMgfNy.mp3
33,50gPsfGHy5OnPauA9455DM,Rolê,False,spotify:track:50gPsfGHy5OnPauA9455DM,https://p.scdn.co/mp3-preview/72da67d4e364c2a61d2850b8bc9ba382f2cc8d67?cid=c7dbbb6a42314093bc11a2d6f68766ee,Tarcísio do Acordeon \ Marcynho Sensação,0.678,0.775,2,-4.152,0,0.043,0.302,0.0,0.0718,0.96,160.116,174938,4,./sampled/50gPsfGHy5OnPauA9455DM.mp3
34,0FqVtQxRD3HsPltldG5v5M,Aquelas Coisas,False,spotify:track:0FqVtQxRD3HsPltldG5v5M,https://p.scdn.co/mp3-preview/709059a18e1fe9629757a5160d851cba3164651e?cid=c7dbbb6a42314093bc11a2d6f68766ee,João Gomes,0.682,0.873,6,-4.163,1,0.0449,0.402,0.0,0.0946,0.964,150.006,147072,4,./sampled/0FqVtQxRD3HsPltldG5v5M.mp3
35,1QiZYlh3oZg3zgn8eS99aB,Mete Um Block Nele,False,spotify:track:1QiZYlh3oZg3zgn8eS99aB,https://p.scdn.co/mp3-preview/bb2b49a3ec3929bc6e826048f7eb9ea1a1cc8646?cid=c7dbbb6a42314093bc11a2d6f68766ee,João Gomes,0.681,0.847,1,-5.453,0,0.0331,0.717,0.0,0.327,0.945,150.001,177192,4,./sampled/1QiZYlh3oZg3zgn8eS99aB.mp3
